Date,Open,High,Low,Close,Adj Close,Volume
15/02/2016,68.111.000,68.830.002,67.940.002,68.538.002,68.538.002,0
22/02/2016,68.480.003,68.901.001,68.269.997,68.796.997,68.796.997,0
29/02/2016,68.730.003,68.790.001,66.919.998,67.142.998,67.142.998,0
07/03/2016,66.930.000,67.529.999,66.779.999,67.308.998,67.308.998,0
14/03/2016,66.913.002,67.434.998,66.099.998,66.375.999,66.375.999,0
21/03/2016,66.375.999,66.930.000,66.230.003,66.906.998,66.906.998,0
28/03/2016,66.906.998,66.906.998,65.940.002,66.358.002,66.358.002,0
04/04/2016,66.358.002,66.779.999,65.610.001,66.543.999,66.543.999,0
11/04/2016,66.543.999,66.739.998,66.260.002,66.637.001,66.637.001,0
18/04/2016,66.653.000,66.690.002,65.910.004,66.512.001,66.512.001,0
25/04/2016,66.653.000,66.849.998,65.879.997,66.417.999,66.417.999,0
02/05/2016,66.417.999,66.708.000,66.010.002,66.601.997,66.601.997,0
09/05/2016,66.594.002,66.989.998,66.370.003,66.750.999,66.750.999,0
16/05/2016,66.847.000,67.610.001,66.480.003,67.422.997,67.422.997,0
23/05/2016,67.422.997,67.779.999,66.830.002,67.024.002,67.024.002,0
30/05/2016,67.024.002,67.504.997,66.790.001,67.292.000,67.292.000,0
06/06/2016,66.991.997,67.040.001,66.370.003,66.740.997,66.740.997,0
13/06/2016,66.945.000,67.443.001,66.889.999,67.066.002,67.066.002,0
20/06/2016,67.599.998,68.203.003,67.050.003,67.241.997,67.241.997,0
27/06/2016,67.730.003,68.139.999,67.059.998,67.181.999,67.181.999,0
04/07/2016,67.169.998,67.589.996,66.800.003,67.132.004,67.132.004,0
11/07/2016,67.132.004,67.209.999,66.639.999,67.133.003,67.133.003,0
18/07/2016,67.133.003,67.260.002,66.959.999,67.153.999,67.153.999,0
25/07/2016,67.146.004,67.470.001,66.599.998,66.648.003,66.648.003,0
01/08/2016,66.648.003,67.002.998,66.529.999,66.841.003,66.841.003,0
08/08/2016,66.834.999,66.968.002,66.605.003,66.899.597,66.899.597,0
15/08/2016,66.899.498,67.192.902,66.680.000,67.127.502,67.127.502,0
22/08/2016,67.128.601,67.239.998,66.800.003,67.128.998,67.128.998,0
29/08/2016,67.126.503,67.193.001,66.519.997,66.572.800,66.572.800,0
05/09/2016,66.572.800,66.898.804,66.070.000,66.778.000,66.778.000,0
12/09/2016,66.897.003,67.121.201,66.680.000,67.065.300,67.065.300,0
19/09/2016,67.065.498,67.150.002,66.519.997,66.696.503,66.696.503,0
26/09/2016,66.697.502,66.943.001,66.332.497,66.546.501,66.546.501,0
03/10/2016,66.545.502,66.870.003,66.349.998,66.591.202,66.591.202,0
10/10/2016,66.591.499,66.980.003,66.469.803,66.705.299,66.705.299,0
17/10/2016,66.709.999,66.992.500,66.599.998,66.911.201,66.911.201,0
24/10/2016,66.917.999,66.945.000,66.748.001,66.781.403,66.781.403,0
31/10/2016,66.781.403,66.900.002,66.628.304,66.785.301,66.785.301,0
07/11/2016,66.785.301,67.644.997,66.205.002,67.546.799,67.546.799,0
14/11/2016,67.547.203,68.250.000,67.389.999,68.169.998,68.169.998,0
21/11/2016,68.168.503,68.894.997,67.949.997,68.508.499,68.508.499,0
28/11/2016,68.508.499,68.800.003,68.010.002,68.011.497,68.011.497,0
05/12/2016,68.011.497,68.258.003,67.307.999,67.460.503,67.460.503,0
12/12/2016,67.461.800,67.900.002,67.379.898,67.834.999,67.834.999,0
19/12/2016,67.834.999,68.098.701,67.699.997,67.830.803,67.830.803,0
26/12/2016,67.830.803,68.249.100,67.699.997,67.944.801,67.944.801,0
02/01/2017,67.944.801,68.430.000,67.714.996,68.142.601,68.142.601,0
09/01/2017,68.132.599,68.492.996,67.949.997,68.157.799,68.157.799,0
16/01/2017,68.157.799,68.290.001,67.879.997,68.077.202,68.077.202,0
23/01/2017,68.072.197,68.224.998,67.959.999,68.110.001,68.110.001,0
30/01/2017,68.109.901,68.109.901,67.029.999,67.157.303,67.157.303,0
06/02/2017,67.168.198,67.449.997,66.650.002,66.843.697,66.843.697,0
13/02/2017,66.840.698,67.165.001,66.760.002,67.065.201,67.065.201,0
20/02/2017,67.065.498,67.095.001,66.519.997,66.635.002,66.635.002,0
27/02/2017,66.635.002,66.889.999,66.589.996,66.773.003,66.773.003,0
06/03/2017,66.709.999,66.852.997,66.485.001,66.485.001,66.485.001,0
13/03/2017,66.485.001,66.580.002,65.209.999,65.468.102,65.468.102,0
20/03/2017,65.468.102,65.584.999,65.180.000,65.393.097,65.393.097,0
27/03/2017,65.417.999,65.417.999,64.739.998,64.796.700,64.796.700,0
03/04/2017,64.852.997,65.192.497,64.150.002,64.260.002,64.260.002,0
